,Date,Count
0,2017-08-04,288
1,2017-07-26,288
2,2017-07-30,288
3,2017-08-03,288
4,2017-08-07,288
5,2017-07-29,288
6,2017-08-02,288
7,2017-08-06,288
8,2017-07-28,288
9,2017-08-01,288
10,2017-07-27,288
11,2017-08-08,285
12,2017-08-05,282
13,2017-07-31,280
14,2017-07-25,143
15,2017-08-09,98
