,Window_Velocity_Max,Mean_0,Mean_6,Mean_12,Mean_18,cgmTrend,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,acc1,acc2,acc3,acc4,Entropy
11,58.0,227.66666666666666,250.0,258.0,204.5,46.666666666666664,3802.0,334.6873896668213,334.6873896668212,309.4667471423376,309.4667471423376,216.6356796611809,216.63567966118083,134.42314696617677,-0.6,3.5,-3.95,-0.9,3.2163581335128364
17,44.0,115.16666666666667,125.66666666666667,131.83333333333334,170.33333333333334,53.333333333333336,5817.0,817.9075722216435,817.9075722216434,163.4988603888039,163.49886038880388,122.28707919108021,122.2870791910802,77.07788269017252,-1.0,-0.3,-0.2,2.4,3.1989165287206847
18,52.0,156.5,156.5,201.16666666666666,190.16666666666666,53.333333333333336,5415.0,1062.2185866632644,1062.2185866632642,226.81111637829957,226.81111637829957,109.0341733434159,109.03417334341587,85.46776256217557,-1.15,3.5,-1.4,-1.6,3.2163581335128364
19,69.0,147.5,211.83333333333334,221.16666666666666,200.16666666666666,36.666666666666664,3852.0,519.8236886661714,519.8236886661714,120.4651618606001,120.46516186060009,77.1636855770166,77.1636855770166,31.506454044601885,2.05,-1.7,-1.5,-1.1,3.152706716683355
20,60.0,196.5,207.83333333333334,183.16666666666666,173.83333333333334,40.0,4450.0,518.8860626252516,518.8860626252516,116.11457796233283,116.11457796233279,112.66798423649485,112.66798423649485,76.11368345598913,-0.5,-3.4,0.7,0.3,3.1989165287206847
21,37.0,170.66666666666666,166.33333333333334,184.66666666666666,142.0,43.333333333333336,5066.0,822.1539190212123,822.1539190212123,331.82759104591815,331.8275910459181,178.6479786082048,178.64797860820474,134.94528427214684,-2.45,1.4,0.85,-3.6,3.2163581335128364
22,38.0,148.5,124.5,101.16666666666667,107.83333333333333,50.0,3302.0,330.69404251816485,330.69404251816485,313.42163793440756,313.42163793440744,106.1085303213567,106.10853032135667,67.26812023536856,-3.4,0.3,2.35,-1.4,3.2163581335128364
23,64.0,152.83333333333334,191.33333333333334,242.33333333333334,233.16666666666666,50.0,5847.0,850.6946130474564,850.6946130474564,601.3125966784556,601.3125966784556,284.6940461545503,284.6940461545503,176.71942447138153,-0.3,3.0,-1.95,-1.65,2.967867468534036
24,68.0,116.83333333333333,185.0,230.5,240.5,50.0,7459.0,1727.6496700861526,1727.6496700861526,840.140362652828,840.140362652828,313.8771050221569,313.87710502215685,261.3063336392747,3.35,0.6,-1.6,-1.2,3.3549875696248255
25,52.0,98.83333333333333,145.16666666666666,153.33333333333334,145.66666666666666,46.666666666666664,7331.0,329.0581858807316,329.05818588073157,107.61505470890218,107.61505470890215,91.34642158517302,91.34642158517302,77.3129661092966,0.3,0.7,-1.85,0.4,2.9042160517045548
26,64.0,114.0,160.33333333333334,173.16666666666666,170.83333333333334,46.666666666666664,6540.0,1366.9237885455548,1366.9237885455548,279.67852231390725,279.6785223139072,215.44601893182414,215.44601893182414,150.13910402414888,1.6,2.1,-3.0,0.55,3.014077280571366
27,12.0,183.16666666666666,131.16666666666666,136.0,146.83333333333334,66.66666666666666,6514.0,826.893632204221,826.893632204221,442.47694248220455,442.4769424822045,342.9475719183984,342.94757191839835,266.086399838458,-1.2,1.95,1.05,-0.55,3.135265111891204
28,67.0,127.66666666666667,127.66666666666667,110.5,113.5,43.333333333333336,6949.0,437.33464840840605,437.334648408406,275.38607042954095,275.38607042954095,259.8995657913091,259.8995657913091,120.6905125988742,-1.5,-1.85,1.35,0.0,2.9504258637418848
29,101.0,180.5,230.16666666666666,221.66666666666666,242.16666666666666,30.0,4134.0,676.2650063477896,676.2650063477896,123.81223528038026,123.81223528038025,98.88953928499377,98.88953928499376,60.621778264910716,1.1,-2.4,-0.5,1.8,3.1064969046460256
30,97.0,177.66666666666666,259.8333333333333,326.8333333333333,368.0,46.666666666666664,5907.0,1349.7631013986736,1349.7631013986734,283.6796657532314,283.6796657532314,249.21554599568486,249.21554599568478,161.469337889973,2.95,-2.85,1.5,-4.05,3.3549875696248255
31,41.0,223.33333333333334,229.5,257.0,258.6666666666667,50.0,5845.0,485.3713842334239,485.37138423342384,362.9011457074289,362.9011457074289,357.34528954334144,357.34528954334144,184.68642939005417,0.15,0.25,0.6,-0.2,2.9966356757792143
33,97.0,142.0,225.16666666666666,287.1666666666667,294.8333333333333,50.0,7315.0,297.79613994029233,297.7961399402923,240.20633532778496,240.20633532778493,86.01744009211156,86.01744009211156,64.01198054683378,1.35,3.0,-4.85,-0.2,3.3549875696248255
37,78.0,205.16666666666666,234.16666666666666,258.1666666666667,261.3333333333333,33.33333333333333,4757.0,553.0978940069995,553.0978940069994,145.34856866149477,145.34856866149474,89.67493156351338,89.67493156351338,43.4856298103178,-1.25,-0.7,-1.1,1.5,3.2163581335128364
38,40.0,235.16666666666666,260.1666666666667,239.16666666666666,179.5,36.666666666666664,4852.0,647.3364319298254,647.3364319298254,374.9637522453474,374.9637522453474,181.5432474093754,181.5432474093754,118.15307299225539,3.4,-2.75,-0.35,-2.0,3.262567945550166
39,56.0,106.83333333333333,162.66666666666666,171.33333333333334,156.0,40.0,5802.0,693.7390565714829,693.7390565714827,113.8774463686203,113.8774463686203,51.05438992946355,51.05438992946353,35.341194094144605,1.55,-0.4,-2.15,-0.3,3.170148321475507
