,Date_Time,Diff
35217,2017-08-30 13:14:31,-4.942777777777778
35166,2017-08-30 18:11:05,-11.598333333333333
35059,2017-08-31 05:46:59,-3.7530555555555556
35010,2017-08-31 09:32:10,-7.523333333333333
34926,2017-08-31 17:03:34,-12.639444444444445
34833,2017-09-01 05:41:56,-3.7
34803,2017-09-01 09:23:56,-2.191388888888889
34783,2017-09-01 11:35:25,-6.424444444444444
34719,2017-09-01 18:00:53,-19.2975
34537,2017-09-02 13:18:44,-6.671111111111111
34467,2017-09-02 19:59:00,-12.921666666666667
34365,2017-09-03 08:54:18,-3.2591666666666668
34332,2017-09-03 12:09:51,-6.9847222222222225
34249,2017-09-03 19:08:56,-25.170555555555556
34138,2017-09-04 20:19:10,-13.309722222222222
34026,2017-09-05 09:37:45,-4.185833333333334
33987,2017-09-05 13:48:54,-4.475555555555556
33928,2017-09-05 18:17:26,-11.1225
33796,2017-09-06 05:24:47,-3.7552777777777777
33742,2017-09-06 09:10:06,-4.829722222222222
33683,2017-09-06 13:59:53,-3.9186111111111113
33652,2017-09-06 17:55:00,-15.550555555555556
33511,2017-09-07 09:28:02,-6.256944444444445
33474,2017-09-07 15:43:27,-4.345833333333334
33426,2017-09-07 20:04:12,-14.016944444444444
33292,2017-09-08 10:05:13,-7.826944444444444
33223,2017-09-08 17:54:50,-15.2675
33049,2017-09-09 09:10:53,-4.865277777777778
33012,2017-09-09 14:02:48,-4.083333333333334
32975,2017-09-09 18:07:48,-14.778611111111111
32864,2017-09-10 08:54:31,-5.623888888888889
32795,2017-09-10 14:31:57,-4.75
32769,2017-09-10 19:16:57,-13.48611111111111
32624,2017-09-11 08:46:07,-5.76
32587,2017-09-11 14:31:43,-5.440833333333333
32540,2017-09-11 19:58:10,-11.841388888888888
32424,2017-09-12 07:48:39,-6.497777777777777
32353,2017-09-12 14:18:31,-2.5416666666666665
32324,2017-09-12 16:51:01,-4.314722222222223
32275,2017-09-12 21:09:54,-16.52388888888889
32104,2017-09-13 13:41:20,-2.7430555555555554
32074,2017-09-13 16:25:55,-4.249444444444445
32048,2017-09-13 20:40:53,-13.311944444444444
31925,2017-09-14 09:59:36,-3.5527777777777776
31887,2017-09-14 13:32:46,-7.254444444444444
31841,2017-09-14 20:48:02,-17.193611111111114
31702,2017-09-15 13:59:39,-6.934444444444445
31631,2017-09-15 20:55:43,-12.814444444444444
31542,2017-09-16 09:44:35,-5.918333333333333
31500,2017-09-16 15:39:41,-3.895277777777778
31447,2017-09-16 19:33:24,-17.534444444444446
31283,2017-09-17 13:05:28,-5.306111111111111
31227,2017-09-17 18:23:50,-13.519722222222223
31120,2017-09-18 07:55:01,-10.029444444444444
31026,2017-09-18 17:56:47,-15.246944444444445
30859,2017-09-19 09:11:36,-6.225833333333333
30782,2017-09-19 15:25:09,-2.786388888888889
30760,2017-09-19 18:12:20,-15.115277777777777
30633,2017-09-20 09:19:15,-2.846388888888889
30611,2017-09-20 12:10:02,-6.145277777777777
30565,2017-09-20 18:18:45,-11.726944444444445
30470,2017-09-21 06:02:22,-3.5908333333333333
30432,2017-09-21 09:37:49,-5.1402777777777775
30394,2017-09-21 14:46:14,-3.5769444444444445
30371,2017-09-21 18:20:51,-14.941666666666666
30254,2017-09-22 09:17:21,-5.381388888888889
30205,2017-09-22 14:40:14,-3.3361111111111112
30175,2017-09-22 18:00:24,-17.986944444444447
29963,2017-09-23 11:59:37,-8.18138888888889
29901,2017-09-23 20:10:30,-15.307222222222222
29747,2017-09-24 11:28:56,-6.0344444444444445
29665,2017-09-24 17:31:00,-15.963333333333333
29554,2017-09-25 09:28:48,-4.538055555555556
29506,2017-09-25 14:01:05,-4.036666666666667
29460,2017-09-25 18:03:17,-15.074444444444444
29332,2017-09-26 09:07:45,-4.5025
29288,2017-09-26 13:37:54,-5.047777777777778
29241,2017-09-26 18:40:46,-6.355555555555555
29157,2017-09-27 01:02:06,-5.266111111111111
29100,2017-09-27 06:18:04,-3.745277777777778
29045,2017-09-27 10:02:47,-3.0058333333333334
28997,2017-09-27 13:03:08,-4.3661111111111115
28956,2017-09-27 17:25:06,-2.2150000000000003
28935,2017-09-27 19:38:00,-2.7394444444444446
28894,2017-09-27 22:22:22,-11.050833333333333
28762,2017-09-28 09:25:25,-4.983611111111111
28710,2017-09-28 14:24:26,-4.132777777777778
28654,2017-09-28 18:32:24,-14.63111111111111
28496,2017-09-29 09:10:16,-6.818611111111111
28403,2017-09-29 15:59:23,-4.6658333333333335
28376,2017-09-29 20:39:20,-16.13361111111111
28229,2017-09-30 12:47:21,-3.1780555555555554
28182,2017-09-30 15:58:02,-2.796388888888889
28155,2017-09-30 18:45:49,-3.1530555555555555
28137,2017-09-30 21:55:00,-14.682222222222222
27999,2017-10-01 12:35:56,-6.785
27904,2017-10-01 19:23:02,-14.013055555555555
27754,2017-10-02 09:23:49,-4.483333333333334
27703,2017-10-02 13:52:49,-4.703333333333333
27649,2017-10-02 18:35:01,-11.405277777777778
